Date,BTC,ETH,LTC,XRP,XLM,NASDAQ,DJI,N225,HSI,SSEC,STOXX50E,USD-EUR,USD-CNY,USD-JPY,GOLD,OIL,NVDA,AMD,INTC,PYPL,ACWI-ETF,ICLN-ETF,SMH-ETF,QQQ-ETF,XLF-ETF
2016-01-01,434.334015,0.948024,3.50898,0.005954999999999999,0.001748,,,,,,,0.92089,6.4837,120.288002,,,,,,,,,,,
2016-01-02,433.43798799999996,0.937124,3.50216,0.006065,0.001741,,,,,,,,,,,,,,,,,,,,
2016-01-03,430.01098600000006,0.9719049999999999,3.4830699999999997,0.006017,0.001744,,,,,,,,,,,,,,,,,,,,
2016-01-04,433.091003,0.9544799999999999,3.49539,0.005958,0.001748,4903.089844,17148.939453,18450.980469,21327.119141,3296.258057,3164.76001,0.92132,6.4837,120.310997,1075.099976,36.759997999999996,31.672333000000002,2.77,29.714636,34.75,49.404644,8.728479,49.498756,104.949097,13.20239
2016-01-05,431.959991,0.950176,3.46967,0.006044,0.001721,4891.430176,17158.660156,18374.0,21188.720703,3287.7109379999997,3178.01001,0.9235700000000001,6.5254,119.467003,1078.400024,35.970001,32.181126,2.75,29.574759000000004,34.310001,49.449692,8.69267,49.038692,104.766998,13.253232999999998
2016-01-06,429.10501100000005,0.95086,3.45356,0.0060030000000000005,0.0016719999999999999,4835.759765999999,16906.509766,18191.320313,20980.810547,3361.8400880000004,3139.320068,0.93006,6.5125,119.101997,1091.900024,33.970001,30.850433000000002,2.51,28.919096000000003,33.98,48.701824,8.558387,47.771183,103.760635,13.049859
2016-01-07,458.048004,0.942005,3.60414,0.006039,0.0017280000000000002,4689.430176,16514.099609,17767.339844,20333.339844,3125.001953,3084.679932,0.9277299999999999,6.5467,118.610001,1107.699951,33.27,29.627378000000004,2.28,27.835068,33.130001,47.566502,8.245056,46.297108,100.511528,12.682652000000001
2016-01-08,453.23001100000005,0.9867889999999999,3.5688800000000005,0.005933,0.0016809999999999998,4643.629883,16346.450195,17697.960938,20453.710938,3186.412109,3033.469971,0.91525,6.5829,117.540001,1097.800049,33.16,28.991388,2.14,27.546576,32.689999,47.01685,8.164486,45.56477,99.687271,12.484932
2016-01-09,447.610992,0.986833,3.56057,0.005982,0.001749,,,,,,,,,,,,,,,,,,,,
2016-01-10,447.990997,0.999231,3.53672,0.005956,0.0017649999999999999,,,,,,,,,,,,,,,,,,,,
2016-01-11,448.428009,1.0616,3.5566199999999997,0.005895,0.001739,4637.990234000001,16398.570313,,19888.5,3016.704102,3027.48999,0.91399,6.5865,117.08000200000001,1096.5,31.41,29.040312,2.34,28.027396999999997,33.040001000000004,47.070927000000005,8.06601,45.977882,99.993973,12.501876
2016-01-12,435.69000199999994,1.141,3.4936800000000003,0.005854,0.001743,4685.919922,16516.220703,17218.960938,19711.759766,3022.861084,3064.659912,0.9209799999999999,6.5595,117.650002,1085.599976,30.440001000000002,29.529535,2.39,28.569409999999998,33.080002,47.377274,8.003344,46.372219,101.153679,12.597914999999999
2016-01-13,432.371002,1.1252,3.4760199999999997,0.005794,0.0018239999999999999,4526.060059,16151.410156,17715.630859,19934.880859,2949.596924,3073.02002,0.92217,6.5625,117.83000200000001,1087.5,30.48,28.629364000000002,2.25,27.896263,32.119999,46.413151,7.716872,45.010818,97.664955,12.270256
2016-01-14,430.306,1.18959,3.46599,0.005529,0.0019140000000000001,4615.0,16379.049805,17240.949219,19817.410156,3007.6489260000003,3024.0,0.91861,6.5654,117.425003,1073.900024,31.200001,28.052078,2.21,28.621859000000004,32.869999,47.08894,7.698967,46.203216999999995,99.74477399999999,12.377591
2016-01-15,364.330994,1.20801,2.9967799999999998,0.005229,0.001737,4488.419922,15988.080078,17147.109375,19520.769531,2900.969971,2952.47998,0.9209,6.5802,118.20300300000001,1091.5,29.42,26.5257,2.03,26.016699,32.310001,45.755379,7.421444999999999,43.846584,96.649002,12.100779
2016-01-16,387.536011,1.2202899999999999,3.0869400000000002,0.005111999999999999,0.001748,,,,,,,,,,,,,,,,,,,,
2016-01-17,382.299011,1.3274700000000001,3.02619,0.005266,0.001714,,,,,,,,,,,,,,,,,,,,
2016-01-18,387.167999,1.42634,3.0489599999999997,0.005326,0.0017109999999999998,,,16955.570313,19237.449219,2913.836914,2935.389893,0.91575,6.5749,116.989998,,,,,,,,,,,
2016-01-19,380.14898700000003,1.3713899999999999,3.01744,0.0052710000000000005,0.0018260000000000001,4476.950195,16016.019531,17048.369141,19635.810547,3007.739014,2980.48999,0.91785,6.5689,117.384003,1089.900024,28.459999,26.740953,1.95,26.051664000000002,32.200001,46.025703,7.421444999999999,44.137638,96.859863,12.095129
2016-01-20,420.23001100000005,1.5318200000000002,3.3885300000000003,0.005381,0.0018210000000000001,4471.689941,15766.740234,16416.189453,18886.300781,2976.694092,2882.590088,0.9163399999999999,6.5686,117.565002,1107.099976,26.549999,26.887721999999997,1.8,25.868082,31.200001,45.286842,7.233447,44.250316999999995,96.562744,11.857857000000001
2016-01-21,410.261993,1.5535700000000001,3.22078,0.005313,0.001738,4472.060059,15882.679688,16017.259766,18542.150391,2880.481934,2943.919922,0.91937,6.5684,117.134003,1099.099976,29.530001000000002,27.200829,2.09,25.929277,31.200001,45.539134999999995,7.161828999999999,44.860596,96.658585,11.807017
2016-01-22,382.492004,1.50127,3.0765700000000002,0.0051140000000000005,0.001704,4591.180176,16093.509766,16958.529297,19080.509766,2916.5620120000003,3023.209961,0.92064,6.57,117.92400400000001,1097.199951,32.189999,27.836821,2.02,26.165312,31.690001000000002,46.692482,7.493063,45.714989,99.457222,12.021687
2016-01-23,387.490997,1.9726700000000001,3.10348,0.00512,0.001696,,,,,,,,,,,,,,,,,,,,
2016-01-24,402.971008,2.1412,3.181,0.005219,0.0017230000000000001,,,,,,,,,,,,,,,,,,,,
2016-01-25,391.72601299999997,2.49927,3.12728,0.005135,0.001709,4518.490234000001,15885.219727000002,17110.910156,19340.140625,2938.514893,3001.780029,0.92601,6.5691,118.571999,1106.199951,30.34,27.807468,2.12,25.876822,31.469998999999998,45.998665,7.358778999999999,45.198597,97.981255,11.778771
2016-01-26,392.153015,2.27637,3.15482,0.005419,0.0019010000000000001,4567.669922,16167.230469,16708.900391,18860.800781,2749.784912,3032.840088,0.9214,6.5694,118.227997,1121.699951,31.450001,28.081429999999997,2.07,26.174057,31.969998999999998,46.764557,7.537826,45.583546000000005,98.863007,11.976497
